FIPS,State,County,Unreliable,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,Sample Size,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,Food Environment Index,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,Unreliable,MV mortality rate,95% CI - Low,95% CI - High,Z-Score,Under review,Cases,Population,"Rates per 100,000",Z-Score,Teen Births ,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,PCP No,PCP Rate,PCP Ratio,Unreliable,Population,PCP No,PCP Rate,PCP Ratio,Z-Score,No of Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,No of Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,Mammography Rate,95% CI - Low,95% CI - High,Z-Score,Under review,AFGR,Z-Score,PSED Num,Population,PSED,Z-Score,% unemployed,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,% Single-Parent Households,Z-Score,Aggregate Population,Violent Crimes,Violent Crime Rate,Z-Score,Unreliable,Homicide Rate,95% CI - Low,95% CI - High,Z-Score,PM Days,Z-Score,Ozone Days,Z-Score,Unreliable,Zip Codes with Healthy Food,# Zip Codes,% Healthy Food,Z-Score,Rec Facs,Population,Rec Fac Rate,Z-Score,# Driving Deaths
36039,New York,Greene,,671,8109,7227,8991,2.05,198,13,9,20,-0.37,195,3.8,2.5,5.1,0.44,194,3.2,2.2,4.2,-0.26,,3112,8.4,7.4,9.3,1.27,198,28,20,37,1.06,27,0,21,34,0.08,197,13,9,20,-1.41,,19,14,23,1.35,,80,48992,163,-0.47,266,25,22,28,-0.16,0,19,16,22,0.34,19,39,2585:01:00,,49106,26,53,1889:01:00,0.94,12838,65,60,69,-1.02,247,83,72,94,0.41,3069:1,57.8,46,69,1.33,,70,1.85,5928,11675,50.8,0.83,8.3,8,8.7,0.07,17,13,21,-0.24,143,,,,0,30,-0.15,147644,461,312,0.84,,,,,,0,-0.52,0,-0.64,,10,33,30,1.21,9,49106,18,-1.49,0
36041,New York,Hamilton,,73,4745,3178,6813,-1.62,40,,,,0,39,,,,0,39,,,,0,,,,,,0,40,,,,0,25,0,19,33,-0.62,38,,,,0,x,17,6,36,0.84,,2,5021,40,-1.14,,,,,0,0,32,28,37,3,1,20,4959:01:00,,4959,2,40,2480:01:00,1.19,2124,53,42,63,-1.91,45,87,59,100,-0.56,106:1,79.3,47,100,-1.63,,90,-2.17,585,1066,54.9,0.34,7.4,6.5,8.4,-0.78,16,12,20,-0.37,32,,,,0,28,-0.46,15124,13,86,-1.24,,,,,,0,-0.52,1,-0.32,,3,9,33,1.07,0,4959,0,1.82,0
36043,New York,Herkimer,,722,6796,6044,7548,0.62,227,14,10,20,-0.09,221,3.8,2.7,4.9,0.44,224,4.6,3.1,6.1,1.94,,4774,6.6,5.9,7.3,-0.79,226,21,15,29,-0.27,29,0,23,36,0.82,223,24,17,32,1.81,,13,9,16,-0.1,,85,62200,137,-0.62,477,30,28,33,0.5,0,17,14,20,-0.43,24,39,2596:01:00,,62293,33,53,1888:01:00,0.94,15469,99,94,104,1.43,274,86,75,98,-0.52,20764:1,74.1,63,85,-0.91,,80,-0.38,8638,15161,57,0.09,8,7.7,8.3,-0.21,20,16,25,0.39,157,22,14,33,0.25,31,-0.02,187417,600,320,0.91,,,,,,0,-0.52,1,-0.32,,10,16,63,-0.33,5,62293,8,0.35,0
36045,New York,Jefferson,,1088,6493,5995,6991,0.29,431,13,10,16,-0.58,427,3.5,2.7,4.4,-0.08,424,3.1,2.2,3.9,-0.42,,11785,6.7,6.3,7.2,-0.64,429,31,26,38,1.8,28,0,23,34,0.41,425,23,17,29,1.59,,13,10,15,-0.1,,521,118046,441,1.04,1123,44,41,46,2.03,0,24,20,28,1.89,58,50,2020:01:00,,117157,78,67,1502:01:00,0.68,22855,77,74,81,-0.12,552,87,79,95,-0.59,16737:1,72.8,64,82,-0.73,,75,0.39,16607,29576,56.2,0.19,8.7,8.5,9,0.45,22,17,26,0.65,320,17,11,26,-0.99,34,0.34,351520,839,239,0.16,,,,,,2,0.42,2,0.01,,12,30,40,0.75,6,117157,5,0.9,0
36047,New York,Kings,,23756,6740,6631,6850,0.56,3515,22,20,24,2.22,3403,3.8,3.5,4.1,0.44,3449,3.7,3.4,4,0.52,,280819,8.6,8.5,8.7,1.58,3504,17,15,18,-1.07,24,0,22,27,-0.91,3430,13,12,15,-1.41,,6,5,6,-1.65,,16983,2556598,664,2.25,20591,34,33,34,0.87,0,20,18,21,0.44,3072,120,830:01:00,,2549941,3319,130,768:01:00,-0.56,318120,85,84,86,0.42,7176,80,78,82,1.29,5986:1,52.8,51,55,2.03,,,0,451618,774018,58.3,-0.06,10.1,10.1,10.2,1.78,30,28,32,2.24,2301,31,28,34,2.39,41,1.42,,,,0,,,,,,6,2.31,6,1.32,,38,43,88,-1.56,114,2549941,4,1.08,0
36049,New York,Lewis,,282,6639,5510,7768,0.45,139,16,10,24,0.35,135,2.6,1.5,3.7,-1.64,136,2.4,1.3,3.5,-1.53,,2227,6.5,5.5,7.5,-0.89,139,18,11,28,-0.82,27,0,21,34,0.12,138,,,,0,,22,15,28,1.99,,33,26176,126,-0.67,181,26,22,30,0.01,0,20,16,24,0.67,16,61,1627:01:00,,26030,26,100,1001:01:00,0.03,5995,82,75,90,0.24,131,85,70,100,-0.25,8677:1,71.6,52,91,-0.57,,85,-1.46,2784,6199,44.9,1.52,8.8,8.3,9.3,0.55,21,15,26,0.47,101,18,10,29,-0.87,22,-1.25,78915,126,160,-0.56,,,,,,1,-0.05,0,-0.64,,4,12,33,1.07,1,26030,4,1.08,0
36051,New York,Livingston,,576,5673,4992,6353,-0.61,239,12,9,16,-0.83,236,2.9,2,3.8,-1.12,237,2.1,1.3,2.9,-2,,4463,5.8,5.1,6.5,-1.73,239,18,13,24,-0.88,29,0,23,36,0.86,236,16,10,24,-0.57,,16,12,20,0.68,,100,63154,158,-0.5,272,12,10,13,-1.64,0,18,15,21,-0.01,34,54,1855:01:00,,63067,49,78,1287:01:00,0.46,8389,80,74,86,0.08,138,91,75,100,-1.59,31534:1,69.7,51,89,-0.31,,85,-0.85,7989,13683,58.4,-0.07,8.3,8,8.6,0.07,13,10,16,-0.89,167,20,12,30,-0.39,24,-0.98,189616,223,118,-0.95,,,,,,0,-0.52,0,-0.64,,8,18,44,0.54,8,63067,13,-0.57,0
36053,New York,Madison,,683,5431,4846,6016,-0.87,247,13,9,18,-0.49,243,3.4,2.4,4.3,-0.25,244,3.4,2.1,4.7,0.05,,5174,7.3,6.6,8,0,247,26,19,35,0.76,27,0,21,34,0.08,245,14,10,20,-1.04,,17,13,20,0.84,,113,69766,162,-0.48,481,19,18,21,-0.76,0,17,14,20,-0.36,52,74,1348:01:00,,70092,81,116,865:01:00,-0.28,15509,74,70,79,-0.33,305,82,71,92,0.76,3505:1,70,59,81,-0.35,,85,-0.92,9460,15988,59.2,-0.17,8,7.7,8.3,-0.21,17,13,20,-0.24,183,19,12,30,-0.44,31,-0.04,209653,186,89,-1.22,,,,,,0,-0.52,1,-0.32,,8,19,42,0.65,8,70092,11,-0.2,0
36055,New York,Monroe,,6698,6102,5894,6310,-0.14,2424,16,14,18,0.32,2380,3.5,3.1,3.9,-0.08,2384,3.3,2.9,3.7,-0.11,,61426,7.8,7.6,8,0.62,2417,21,19,23,-0.29,28,0,26,32,0.74,2375,17,15,19,-0.35,,9,8,10,-0.97,,4666,732762,637,2.1,5596,28,28,29,0.27,0,13,11,15,-1.58,1169,160,626:01:00,,731543,1348,184,543:01:00,-1.62,79033,65,63,66,-1.04,1240,87,81,92,-0.55,2061:1,62.2,57,68,0.74,,75,0.33,130069,185429,70.1,-1.45,7.8,7.8,7.9,-0.4,18,15,20,-0.08,1760,21,18,24,-0.12,37,0.76,2191145,9137,417,1.81,,,,,,1,-0.05,4,0.66,,34,42,81,-1.21,95,731543,13,-0.57,0
36057,New York,Montgomery,,569,6689,5900,7477,0.5,192,12,8,18,-0.68,185,3.5,2.2,4.8,-0.08,186,3.4,2.1,4.7,0.05,,4215,7.1,6.3,7.8,-0.23,191,,,,0,29,0,23,37,1.03,190,17,11,25,-0.32,,15,11,19,0.45,,84,48679,173,-0.42,497,47,43,51,2.38,0,15,12,18,-1.1,34,70,1430:01:00,,48623,45,93,1081:01:00,0.17,13757,76,71,80,-0.23,226,83,71,95,0.36,2026:1,67.6,54,81,-0.02,,65,1.92,6124,11537,53.1,0.55,9.4,9,9.7,1.11,25,20,31,1.35,138,,,,0,40,1.24,146127,390,267,0.42,,,,,,0,-0.52,0,-0.64,,4,12,33,1.07,2,48623,4,1.08,0
